Review #,Brand,Variety,Style,Country,Stars,Top Ten,Alpha,Beta,Gamma,Delta,Eplison
2580,New Touch,T's Restaurant Tantanmen ,Cup,Japan,3.75,,250,32000,8000000,2000000000,3000000000
2579,Just Way,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Pack,Taiwan,1,,-250,-32000,-8000000,-2000000000,-3000000000
2578,Nissin,Cup Noodles Chicken Vegetable,Cup,USA,2.25,,250,32000,8000000,2000000000,3000000000
2577,Wei Lih,GGE Ramen Snack Tomato Flavor,Pack,Taiwan,2.75,,250,32000,8000000,2000000000,3000000000
2576,Ching's Secret,Singapore Curry,Pack,India,3.75,,250,32000,8000000,2000000000,3000000000
2575,Samyang Foods,Kimchi song Song Ramen,Pack,South Korea,4.75,,250,32000,8000000,2000000000,3000000000
2574,Acecook,Spice Deli Tantan Men With Cilantro,Cup,Japan,4,,250,32000,8000000,2000000000,3000000000
2573,Ikeda Shoku,Nabeyaki Kitsune Udon,Tray,Japan,3.75,,250,32000,8000000,2000000000,3000000000
2572,Ripe'n'Dry,Hokkaido Soy Sauce Ramen,Pack,Japan,0.25,,250,32000,8000000,2000000000,3000000000
2571,KOKA,The Original Spicy Stir-Fried Noodles,Pack,Singapore,2.5,,250,32000,8000000,2000000000,3000000000
2570,Tao Kae Noi,Creamy tom Yum Kung Flavour,Pack,Thailand,5,,250,32000,8000000,2000000000,3000000000
2569,Yamachan,Yokohama Tonkotsu Shoyu,Pack,USA,5,,250,32000,8000000,2000000000,3000000000
2568,Nongshim,Mr. Bibim Stir-Fried Kimchi Flavor,Pack,South Korea,4.25,,250,32000,8000000,2000000000,3000000000
2567,Nissin,Deka Buto Kimchi Pork Flavor,Bowl,Japan,4.5,,250,32000,8000000,2000000000,3000000000
2566,Nissin,Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5,,250,32000,8000000,2000000000,3000000000
2565,KOKA,Mushroom Flavour Instant Noodles,Cup,Singapore,3.5,,250,32000,8000000,2000000000,3000000000
2564,TRDP,Mario Masala Noodles,Pack,India,3.75,,250,32000,8000000,2000000000,3000000000
2563,Yamachan,Tokyo Shoyu Ramen,Pack,USA,5,,250,32000,8000000,2000000000,3000000000
2562,Binh Tay,Mi Hai Cua,Pack,Vietnam,4,,250,32000,8000000,2000000000,3000000000
2561,Paldo,Premium Gomtang,Pack,South Korea,4,,250,32000,8000000,2000000000,3000000000
2560,Nissin,Cup Noodles Laksa Flavour,Cup,Hong Kong,4.25,,250,32000,8000000,2000000000,3000000000
2559,Jackpot Teriyaki,Beef Ramen,Pack,USA,5,,250,32000,8000000,2000000000,3000000000
2558,KOKA,Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor,Cup,Singapore,5,,250,32000,8000000,2000000000,3000000000
2557,Yamachan,Sapporo Miso Ramen,Pack,USA,4.75,,250,32000,8000000,2000000000,3000000000
2556,Ching's Secret,Hot Garlic Instant Noodles,Pack,India,4.25,,250,32000,8000000,2000000000,3000000000
2555,Samyang Foods,Song Song Kimchi Big Bowl,Bowl,South Korea,4.25,,250,32000,8000000,2000000000,3000000000
